Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,11/06/2021 21:00,Olimpico in Rome,Turkey,Italy,Group A,
2,1,12/06/2021 15:00,Baki Olimpiya Stadionu,Wales,Switzerland,Group A,
3,1,12/06/2021 18:00,Parken,Denmark,Finland,Group B,
4,1,12/06/2021 21:00,Saint Petersburg Stadium,Belgium,Russia,Group B,
5,1,13/06/2021 15:00,Wembley Stadium,England,Croatia,Group D,
6,1,13/06/2021 18:00,Arena Nationala,Austria,North Macedonia,Group C,
7,1,13/06/2021 21:00,Johan Cruijff ArenA,Netherlands,Ukraine,Group C,
8,1,14/06/2021 15:00,Hampden Park,Scotland,Czech Republic,Group D,
9,1,14/06/2021 18:00,Saint Petersburg Stadium,Poland,Slovakia,Group E,
10,1,14/06/2021 21:00,Estadio La Cartuja,Spain,Sweden,Group E,
11,1,15/06/2021 18:00,Puskás Aréna,Hungary,Portugal,Group F,
12,1,15/06/2021 21:00,Fußball Arena München,France,Germany,Group F,
13,2,16/06/2021 15:00,Saint Petersburg Stadium,Finland,Russia,Group B,
14,2,16/06/2021 18:00,Baki Olimpiya Stadionu,Turkey,Wales,Group A,
15,2,16/06/2021 21:00,Olimpico in Rome,Italy,Switzerland,Group A,
16,2,17/06/2021 15:00,Arena Nationala,Ukraine,North Macedonia,Group C,
17,2,17/06/2021 18:00,Parken,Denmark,Belgium,Group B,
18,2,17/06/2021 21:00,Johan Cruijff ArenA,Netherlands,Austria,Group C,
19,2,18/06/2021 15:00,Saint Petersburg Stadium,Sweden,Slovakia,Group E,
20,2,18/06/2021 18:00,Hampden Park,Croatia,Czech Republic,Group D,
21,2,18/06/2021 21:00,Wembley Stadium,England,Scotland,Group D,
22,2,19/06/2021 15:00,Puskás Aréna,Hungary,France,Group F,
23,2,19/06/2021 18:00,Fußball Arena München,Portugal,Germany,Group F,
24,2,19/06/2021 21:00,Estadio La Cartuja,Spain,Poland,Group E,
25,3,20/06/2021 18:00,Olimpico in Rome,Italy,Wales,Group A,
26,3,20/06/2021 18:00,Baki Olimpiya Stadionu,Switzerland,Turkey,Group A,
27,3,21/06/2021 18:00,Arena Nationala,Ukraine,Austria,Group C,
28,3,21/06/2021 18:00,Johan Cruijff ArenA,North Macedonia,Netherlands,Group C,
29,3,21/06/2021 21:00,Saint Petersburg Stadium,Finland,Belgium,Group B,
30,3,21/06/2021 21:00,Parken,Russia,Denmark,Group B,
31,3,22/06/2021 21:00,Wembley Stadium,Czech Republic,England,Group D,
32,3,22/06/2021 21:00,Hampden Park,Croatia,Scotland,Group D,
33,3,23/06/2021 18:00,Saint Petersburg Stadium,Sweden,Poland,Group E,
34,3,23/06/2021 18:00,Estadio La Cartuja,Slovakia,Spain,Group E,
35,3,23/06/2021 21:00,Fußball Arena München,Germany,Hungary,Group F,
36,3,23/06/2021 21:00,Puskás Aréna,Portugal,France,Group F,
